id;item_id;descriptiom;itemprice;weight;weight_uom;volume;volume_uom
1;50449;Grocery Berkshire customer loyalty;20839;92890;Up-sized Bedfordshire;87405;Heard Island and McDonald Islands
2;79174;Bedfordshire De-engineered;65763;35758;Concrete Director;42520;hard drive Auto Loan Account
3;53428;navigate Sleek Concrete Pizza;41365;30317;China Brand Credit Card Account;564;Delaware
4;48817;Small Rubber Shirt;71953;52185;Metal;75860;Stream
5;4930;program Agent;42650;10296;Spain;27787;frictionless
6;78819;Wall;88284;22868;Quality Personal Loan Account;17388;array calculate
7;24981;Tools Salad Keyboard;97567;5209;generating Refined Fresh Chair;56364;Mississippi Path
8;21179;invoice solution open-source;38361;70706;Pizza;48093;withdrawal primary
9;28047;Practical;27830;28313;networks Soft;29988;expedite
10;36424;Computers yellow;57114;97963;Home Loan Account;92073;Skyway Licensed Concrete Mouse
