id;order_line_no;status;ordered_qty;line_price
1;19690;dedicated;14488;51476
2;91585;Sports;5380;28352
3;55937;orange East Caribbean Dollar;25103;3907
4;9348;Cambridgeshire service-desk Oregon;20778;52492
5;54157;Hill Ergonomic Wooden Pants pixel;94490;91204
6;65927;Bedfordshire;54014;50076
7;92134;Cambridgeshire Syrian Pound Fiji Dollar;25943;9660
8;71068;Fantastic Plastic Human;82249;37744
9;22667;Money Market Account Morocco Auto Loan Account;91654;83197
10;58848;Lane convergence;67883;54258
