id;order_no;status;orderdatetime;buyer;seller;ordertotal
1;20270;Global Web;2021-03-01T09:45:31;Keyboard reciprocal bypassing;firewall;54791
2;56048;Handcrafted Baby Kentucky;2021-03-01T07:59:21;Lead scale Fresh;Investment Account neural;89498
3;70185;bypassing Operations;2021-03-01T19:40:40;Health HTTP Slovakia (Slovak Republic);redundant;63852
4;9414;Tools Regional matrix;2021-03-01T19:13:02;tan Cambridgeshire calculate;SQL;63909
5;84789;IB;2021-03-01T19:01:00;Granite;Plastic functionalities South Dakota;77488
6;49363;front-end alarm;2021-03-01T21:42:53;Officer;transition Practical;23135
7;79012;Industrial;2021-03-01T10:51:35;web services;Global;43940
8;75905;Senegal;2021-03-01T04:35:37;SAS;Industrial productize User-centric;84341
9;43070;indexing Clothing Implemented;2021-03-01T05:49:59;Towels redefine Garden;web-enabled Generic Multi-channelled;76413
10;9548;Checking Account Samoa online;2021-03-01T22:57:40;Mobility Small Rubber Bike National;Buckinghamshire Credit Card Account;37713
